STT,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
407,Jørgen Strand Larsen,NOR,FW,Wolves,26-094,2000,15.6,2,0,0,30,11,9,3,3,2,N/a,N/a,0,Matches
408,Jørgen Strand Larsen,NOR,FW,Crystal Palace,26-094,2000,8.2,2,0,0,17,8,1,0,1,0,N/a,N/a,0,Matches
409,Pascal Struijk,NED,DF,Leeds United,26-273,1999,31.0,5,0,0,24,21,5,2,29,22,N/a,N/a,0,Matches
410,Crysencio Summerville,NED,"MF,FW",West Ham United,24-193,2001,25.4,6,0,0,49,63,6,54,14,23,N/a,N/a,0,Matches
411,Dominik Szoboszlai,HUN,"MF,DF",Liverpool,25-198,2000,33.9,8,1,0,38,29,2,188,28,32,N/a,N/a,0,Matches
412,Chemsdine Talbi,MAR,"MF,FW",Sunderland,21-002,2005,17.0,0,0,0,5,1,2,50,3,6,N/a,N/a,0,Matches
413,Ao Tanaka,JPN,MF,Leeds United,27-243,1998,12.1,1,0,0,13,9,0,32,17,11,N/a,N/a,0,Matches
414,James Tarkowski,ENG,DF,Everton,33-173,1992,35.0,7,0,0,28,34,2,7,27,29,N/a,N/a,0,Matches
415,Marcus Tavernier,ENG,MF,Bournemouth,27-050,1999,28.3,6,0,0,30,34,4,104,14,20,N/a,N/a,0,Matches
416,Loum Tchaouna,FRA,"MF,FW",Burnley,22-245,2003,12.4,2,0,0,8,15,1,27,2,9,N/a,N/a,0,Matches
417,Jackson Tchatchoua,CMR,"MF,DF",Wolves,24-239,2001,20.5,3,0,0,8,9,2,90,14,15,N/a,N/a,0,Matches
418,Mathys Tel,FRA,"MF,FW",Tottenham Hotspur,21-014,2005,12.3,1,0,0,15,19,3,75,3,11,N/a,N/a,0,Matches
419,Kenny Tete,NED,DF,Fulham,30-214,1995,19.9,2,0,0,27,31,1,34,26,38,N/a,N/a,0,Matches
420,Igor Thiago,BRA,FW,Brentford,24-319,2001,34.5,7,0,0,70,24,22,15,12,20,N/a,N/a,0,Matches
421,Malick Thiaw,GER,DF,Newcastle United,24-276,2001,30.9,4,0,0,23,10,2,9,26,31,N/a,N/a,0,Matches
422,Youri Tielemans,BEL,MF,Aston Villa,29-004,1997,19.5,0,0,0,25,38,1,43,16,35,N/a,N/a,0,Matches
423,Jurriën Timber,NED,DF,Arsenal,24-328,2001,27.3,5,0,0,38,29,0,46,24,35,N/a,N/a,0,Matches
424,Jean-Clair Todibo,FRA,DF,West Ham United,26-132,1999,19.9,5,1,0,9,3,1,2,16,24,N/a,N/a,0,Matches
425,Sandro Tonali,ITA,MF,Newcastle United,26-003,2000,27.6,4,0,0,24,42,1,93,28,24,N/a,N/a,0,Matches
426,Pau Torres,ESP,DF,Aston Villa,29-115,1997,17.4,1,0,0,7,5,0,4,11,13,N/a,N/a,1,Matches
427,James Trafford,ENG,GK,Manchester City,23-213,2002,3.0,0,0,0,0,1,0,0,0,1,N/a,N/a,0,Matches
428,Adama Traoré,ESP,"FW,MF",West Ham United,30-106,1996,1.3,1,0,0,1,0,2,12,0,1,N/a,N/a,0,Matches
429,Adama Traoré,ESP,MF,Fulham,30-106,1996,3.0,0,0,0,6,8,3,15,0,1,N/a,N/a,0,Matches
430,Bertrand Traoré,BFA,"MF,FW",Sunderland,30-247,1995,7.0,1,0,0,11,12,1,13,2,4,N/a,N/a,0,Matches
431,Kieran Trippier,ENG,DF,Newcastle United,35-234,1990,16.7,3,0,0,22,18,1,92,7,12,N/a,N/a,0,Matches
432,Leandro Trossard,BEL,"FW,MF",Arsenal,31-158,1994,21.2,2,0,0,13,39,5,57,9,15,N/a,N/a,0,Matches
433,Adrien Truffert,FRA,DF,Bournemouth,24-172,2001,35.5,4,0,0,37,31,0,139,42,49,N/a,N/a,0,Matches
434,Axel Tuanzebe,COD,DF,Burnley,28-178,1997,11.3,1,0,0,12,2,1,1,10,7,N/a,N/a,1,Matches
435,Stefanos Tzimas,GRE,FW,Brighton,20-125,2006,1.5,0,0,0,4,1,1,1,0,1,N/a,N/a,0,Matches
436,Christantus Uche,NGA,FW,Crystal Palace,22-357,2003,1.9,0,0,0,4,7,3,6,0,1,N/a,N/a,0,Matches
437,Destiny Udogie,ITA,"DF,MF",Tottenham Hotspur,23-164,2002,12.2,3,0,0,14,19,3,22,6,15,N/a,N/a,0,Matches
438,Manuel Ugarte,URU,MF,Manchester Utd,25-030,2001,9.9,1,0,0,24,15,0,1,20,30,N/a,N/a,0,Matches
439,Lesley Ugochukwu,FRA,MF,Burnley,22-046,2004,24.4,3,1,1,27,27,1,6,16,26,N/a,N/a,0,Matches
440,Enes Ünal,TUR,FW,Bournemouth,29-001,1997,2.4,1,0,0,6,8,2,2,0,1,N/a,N/a,0,Matches
441,Virgil van Dijk,NED,DF,Liverpool,34-307,1991,36.0,4,0,0,18,16,1,1,21,15,N/a,N/a,0,Matches
442,Joël Veltman,NED,DF,Brighton,34-116,1992,11.0,5,0,0,9,22,2,17,19,17,N/a,N/a,0,Matches
443,Micky van de Ven,NED,DF,Tottenham Hotspur,25-022,2001,30.8,8,1,0,23,19,2,3,20,19,N/a,N/a,0,Matches
444,Bart Verbruggen,NED,GK,Brighton,23-266,2002,36.0,3,0,0,2,2,0,0,0,1,N/a,N/a,1,Matches
445,Guglielmo Vicario,ITA,GK,Tottenham Hotspur,29-216,1996,31.0,1,0,0,0,3,0,0,0,1,N/a,N/a,0,Matches
446,Kyle Walker,ENG,"DF,MF",Burnley,35-348,1990,32.4,9,0,0,31,22,1,36,41,31,N/a,N/a,0,Matches
447,Kyle Walker-Peters,ENG,DF,West Ham United,29-028,1997,14.4,2,0,0,11,24,1,19,9,30,N/a,N/a,0,Matches
448,Aaron Wan-Bissaka,COD,"DF,MF",West Ham United,28-166,1997,22.4,4,0,0,23,12,1,41,40,23,N/a,N/a,0,Matches
449,James Ward-Prowse,ENG,MF,West Ham United,31-191,1994,4.6,0,0,0,4,2,0,22,6,2,N/a,N/a,0,Matches
450,James Ward-Prowse,ENG,MF,Burnley,31-191,1994,7.3,1,0,0,4,11,0,46,15,4,N/a,N/a,0,Matches
451,Ollie Watkins,ENG,FW,Aston Villa,30-132,1995,29.5,3,0,0,34,31,22,7,5,13,N/a,N/a,0,Matches
452,Danny Welbeck,ENG,FW,Brighton,35-166,1990,23.7,5,0,0,28,9,4,3,8,14,N/a,N/a,0,Matches
453,Adam Wharton,ENG,MF,Crystal Palace,22-094,2004,26.8,6,1,1,34,28,0,82,24,34,N/a,N/a,0,Matches
454,Ben White,ENG,DF,Arsenal,28-215,1997,7.8,0,0,0,5,6,3,16,9,9,N/a,N/a,0,Matches
455,Mats Wieffer,NED,DF,Brighton,26-176,1999,20.1,8,0,0,29,22,2,16,24,41,N/a,N/a,0,Matches
456,Neco Williams,WAL,DF,Nottingham Forest,25-028,2001,33.6,6,1,0,27,51,4,129,42,58,N/a,N/a,0,Matches
457,Estêvão Willian,BRA,MF,Chelsea,19-017,2007,9.4,4,0,0,12,9,6,16,4,6,N/a,N/a,0,Matches
458,Joe Willock,ENG,MF,Newcastle United,26-264,1999,9.5,3,0,0,15,9,2,14,5,15,N/a,N/a,0,Matches
459,Callum Wilson,ENG,"FW,MF",West Ham United,34-073,1992,12.4,1,0,0,11,13,9,5,3,1,N/a,N/a,0,Matches
460,Harry Wilson,WAL,MF,Fulham,29-050,1997,29.4,7,0,0,13,36,13,114,16,18,N/a,N/a,0,Matches
461,Florian Wirtz,GER,MF,Liverpool,23-008,2003,25.9,1,0,0,21,19,2,32,11,25,N/a,N/a,0,Matches
462,Yoane Wissa,COD,FW,Newcastle United,29-250,1996,5.6,2,0,0,6,1,4,1,0,4,N/a,N/a,0,Matches
463,Nick Woltemade,GER,"FW,MF",Newcastle United,24-086,2002,19.5,0,0,0,20,19,8,3,4,12,N/a,N/a,1,Matches
464,Chris Wood,NZL,FW,Nottingham Forest,34-155,1991,8.6,0,0,0,6,5,4,1,1,1,N/a,N/a,0,Matches
465,Freddie Woodman,ENG,GK,Liverpool,29-068,1997,2.4,0,0,0,0,0,0,0,0,0,N/a,N/a,0,Matches
466,Joe Worrall,ENG,DF,Burnley,29-121,1997,5.6,0,0,0,4,1,0,0,6,2,N/a,N/a,0,Matches
467,Granit Xhaka,SUI,MF,Sunderland,33-226,1992,30.3,7,0,0,21,37,0,89,29,32,N/a,N/a,0,Matches
468,Yehor Yarmoliuk,UKR,MF,Brentford,22-071,2004,28.6,7,0,0,37,12,1,29,28,45,N/a,N/a,0,Matches
469,Ryan Yates,ENG,MF,Nottingham Forest,28-171,1997,6.6,3,0,0,13,13,0,5,9,9,N/a,N/a,0,Matches
470,Leny Yoro,FRA,DF,Manchester Utd,20-179,2005,19.1,1,0,0,16,5,2,3,30,19,N/a,N/a,0,Matches
471,Oleksandr Zinchenko,UKR,DF,Nottingham Forest,29-147,1996,3.9,0,0,0,1,2,1,18,2,6,N/a,N/a,0,Matches
472,Joshua Zirkzee,NED,"FW,MF",Manchester Utd,24-354,2001,6.6,3,0,0,8,6,1,5,1,6,N/a,N/a,0,Matches
473,Martín Zubimendi,ESP,MF,Arsenal,27-098,1999,32.2,4,0,0,32,14,1,12,39,39,N/a,N/a,0,Matches
474,Martin Ødegaard,NOR,MF,Arsenal,27-145,1998,14.2,0,0,0,9,7,2,22,7,9,N/a,N/a,0,Matches
